entrezGeneId,hugoGeneSymbol,type
8930,MBD4,protein-coding
55777,MBD5,protein-coding
114785,MBD6,protein-coding
638,BIK,protein-coding
4152,MBD1,protein-coding
8932,MBD2,protein-coding
-129,MIR-887/5P,miRNA
106479855,RNU6-651P,pseudogene
-1259,MIR-491/5P,miRNA
121725057,TMEM217B,protein-coding
-1595,MIR-4520-2/3P,miRNA
100129375,RNF14P1,pseudogene
116435284,RNF14P2,pseudogene
126433,FBXO27,protein-coding
23219,FBXO28,protein-coding
26260,FBXO25,protein-coding
391239,VTCN1P1,pseudogene
26261,FBXO24,protein-coding
728012,MCHR2-AS1,ncRNA
23014,FBXO21,protein-coding
26263,FBXO22,protein-coding
-3792,MIR-630/630,miRNA
-3621,MIR-10B/10B*,miRNA
3995,FADS3,protein-coding
100129851,CLDN7P1,pseudogene
9415,FADS2,protein-coding
390298,TIMM17BP1,pseudogene
343263,MYBPHL,protein-coding
28332,IGHD2OR15-2B,other
2339,FNTA,protein-coding
283985,FADS6,protein-coding
28333,IGHD2OR15-2A,other
2342,FNTB,protein-coding
100419643,RNF14P3,pseudogene
100419645,RNF14P4,pseudogene
3992,FADS1,protein-coding
104169670,RXYLT1-AS1,ncRNA
157574,FBXO16,protein-coding
9482,STX8,protein-coding
115290,FBXO17,protein-coding
8417,STX7,protein-coding
100132526,FGD5P1,pseudogene
201456,FBXO15,protein-coding
26267,FBXO10,protein-coding
80204,FBXO11,protein-coding
9562,MINPP1,protein-coding
642441,LOC642441,protein-coding
-2887,MIR-181A-2/3P,miRNA
640,BLK,protein-coding
641,BLM,protein-coding
101927249,PDZRN3-AS1,ncRNA
-2334,MIR-302/302A,miRNA
3658,IREB2,protein-coding
494188,FBXO47,protein-coding
554251,FBXO48,protein-coding
200933,FBXO45,protein-coding
23403,FBXO46,protein-coding
286151,FBXO43,protein-coding
93611,FBXO44,protein-coding
150726,FBXO41,protein-coding
54455,FBXO42,protein-coding
100631248,GRAMD4P3,pseudogene
106480248,GRAMD4P4,pseudogene
51725,FBXO40,protein-coding
100631252,GRAMD4P1,pseudogene
100873881,GRAMD4P2,pseudogene
101927204,FAM111A-DT,ncRNA
100631251,GRAMD4P7,pseudogene
-640,MIR-6715B/5P,miRNA
100631247,GRAMD4P8,pseudogene
100631249,GRAMD4P5,pseudogene
441324,FAM90A8,protein-coding
100631250,GRAMD4P6,pseudogene
441327,FAM90A9,protein-coding
51562,MBIP,protein-coding
90427,BMF,protein-coding
553128,KIR2DL5B,protein-coding
-1594,MIR-4520-2/5P,miRNA
57292,KIR2DL5A,protein-coding
219752,TACC1P1,pseudogene
3354,HTR1E,protein-coding
3355,HTR1F,protein-coding
-3172,MIR-4511/4511,miRNA
100856809,OR3A5P,pseudogene
81545,FBXO38,protein-coding
162517,FBXO39,protein-coding
6815,STYX,protein-coding
3352,HTR1D,protein-coding
130888,FBXO36,protein-coding
3350,HTR1A,protein-coding
441317,FAM90A7,protein-coding
3351,HTR1B,protein-coding
55030,FBXO34,protein-coding
503569,RGMB-AS1,ncRNA
441315,FAM90A5,protein-coding
114907,FBXO32,protein-coding
660,BMX,protein-coding
389611,FAM90A3,protein-coding
254170,FBXO33,protein-coding
84085,FBXO30,protein-coding
79791,FBXO31,protein-coding
55138,FAM90A1,protein-coding
-2886,MIR-181A-2/5P,miRNA
-3529,MIR-124-3/3P,miRNA
100506749,AGAP1-IT1,ncRNA
147172,LRRC37BP1,pseudogene
102724971,LOC102724971,protein-coding
399821,EDRF1-DT,ncRNA
3357,HTR2B,protein-coding
23398,PPWD1,protein-coding
3358,HTR2C,protein-coding
3356,HTR2A,protein-coding
100873990,HCFC1-AS1,ncRNA
-641,MIR-6715B/3P,miRNA
91653,BOC,protein-coding
54908,SPDL1,protein-coding
4153,MBL2,protein-coding
666,BOK,protein-coding
206358,SLC36A1,protein-coding
127379728,CD24P5,pseudogene
285641,SLC36A3,protein-coding
153201,SLC36A2,protein-coding
100128505,ASTN2-AS1,ncRNA
285242,HTR3E,protein-coding
54832,VPS13C,protein-coding
55187,VPS13D,protein-coding
1725,DHPS,protein-coding
170572,HTR3C,protein-coding
23230,VPS13A,protein-coding
200909,HTR3D,protein-coding
157680,VPS13B,protein-coding
3359,HTR3A,protein-coding
9177,HTR3B,protein-coding
5876,RABGGTB,protein-coding
937,CD24P3,pseudogene
-2570,MIR-3116-2/3116,miRNA
5875,RABGGTA,protein-coding
938,CD24P4,pseudogene
935,CD24P1,pseudogene
936,CD24P2,pseudogene
102724985,LOC102724985,protein-coding
10438,C1D,protein-coding
-2701,MIR-196B/5P,miRNA
671,BPI,protein-coding
-452,MIR-6791/5P,miRNA
255512,TOLLIP-DT,ncRNA
83528,CYP51A1P1,pseudogene
716,C1S,protein-coding
715,C1R,protein-coding
100507381,KCNQ5-IT1,ncRNA
100422264,CYP51A1P3,pseudogene
3561,IL2RG,protein-coding
83530,CYP51A1P2,pseudogene
100133307,CYP1D1P,pseudogene
112268098,CNPY2-AS1,ncRNA
100422288,CYP4A27P,pseudogene
112268097,MYG1-AS1,ncRNA
120103,SLC36A4,protein-coding
79095,BBLN,protein-coding
9256,TSPOAP1,protein-coding
391548,OR7E55P,pseudogene
26478,OR7E53P,pseudogene
27238,GPKOW,protein-coding
28521,TRDJ2,other
28520,TRDJ3,other
126568846,FOXP1-DT,ncRNA
28522,TRDJ1,other
3361,HTR5A,protein-coding
28519,TRDJ4,other
23783,ANKRD62P1-PARP4P3,other
3559,IL2RA,protein-coding
3560,IL2RB,protein-coding
94154,CDRT11,unknown
94153,CDRT10,unknown
94156,CDRT13,unknown
-453,MIR-6791/3P,miRNA
107080641,CYP4A26P,pseudogene
94155,CDRT12,unknown
146822,CDRT15,protein-coding
100147757,RNU7-9P,pseudogene
29094,LGALSL,protein-coding
-538,MIR-6766/5P,miRNA
81336,OR2AH1P,pseudogene
55670,PEX26,protein-coding
-3014,MIR-4290/4290,miRNA
3960,LGALS4,protein-coding
721,C4B,protein-coding
100129956,HMGN2P48,pseudogene
3958,LGALS3,protein-coding
720,C4A,protein-coding
106480791,HMGN2P47,pseudogene
3957,LGALS2,protein-coding
283651,HMGN2P46,pseudogene
27179,IL36A,protein-coding
3956,LGALS1,protein-coding
100874475,HMGN2P45,pseudogene
345643,MCIDAS,protein-coding
54145,H2BC12L,protein-coding
27177,IL36B,protein-coding
100996301,FOXD3-AS1,ncRNA
100874487,HMGN2P44,pseudogene
100874486,HMGN2P43,pseudogene
100874485,HMGN2P42,pseudogene
682,BSG,protein-coding
729564,HMGN2P41,pseudogene
100874484,HMGN2P40,pseudogene
3965,LGALS9,protein-coding
8927,BSN,protein-coding
3964,LGALS8,protein-coding
285954,INHBA-AS1,ncRNA
3963,LGALS7,protein-coding
26475,OR7E43P,pseudogene
441150,PEX39,protein-coding
-420,MIR-6801/3P,miRNA
390259,BSX,protein-coding
100147756,RNU7-8P,pseudogene
389180,HTR3C2P,pseudogene
105372974,SEZ6L-AS1,ncRNA
100873916,DMD-AS3,ncRNA
685,BTC,protein-coding
147947,ZNF542P,pseudogene
10428,CFDP1,protein-coding
686,BTD,protein-coding
83690,CRISPLD1,protein-coding
83716,CRISPLD2,protein-coding
10923,SUB1,protein-coding
-507,MIR-6778/5P,miRNA
695,BTK,protein-coding
105371560,TBC1D26-AS1,ncRNA
100861541,DOCK9-DT,ncRNA
81191,OR5G5P,pseudogene
1659,DHX8,protein-coding
1660,DHX9,protein-coding
154215,NKAIN2,protein-coding
79570,NKAIN1,protein-coding
128414,NKAIN4,protein-coding
4158,MC2R,protein-coding
286183,NKAIN3,protein-coding
29127,RACGAP1,protein-coding
-395,MIR-6813/3P,miRNA
100533662,STK25P1,pseudogene
81192,OR5G4P,pseudogene
26628,OR7E47P,pseudogene
-1562,MIR-4632/3P,miRNA
201780,SLC10A4,protein-coding
583,BBS2,protein-coding
347051,SLC10A5,protein-coding
582,BBS1,protein-coding
345274,SLC10A6,protein-coding
7494,XBP1,protein-coding
392288,MAP1LC3BP1,pseudogene
84068,SLC10A7,protein-coding
643646,HSD17B1P1,pseudogene
28517,TRDV2,other
28516,TRDV3,other
6554,SLC10A1,protein-coding
-3633,MIR-106A/5P,miRNA
387778,SPDYC,protein-coding
6555,SLC10A2,protein-coding
-419,MIR-6801/5P,miRNA
28518,TRDV1,other
8273,SLC10A3,protein-coding
56300,IL36G,protein-coding
51430,SUCO,protein-coding
-1217,MIR-8084/8084,miRNA
51555,PEX5L,protein-coding
4157,MC1R,protein-coding
-508,MIR-6778/3P,miRNA
102724965,LOC102724965,protein-coding
245711,SPDYA,protein-coding
100188994,TRD-GTC4-1,tRNA
402077,OR7E46P,pseudogene
-368,MIR-6825/3P,miRNA
390756,OR3A4P,pseudogene
100147748,RNU7-5P,pseudogene
-394,MIR-6813/5P,miRNA
732,C8B,protein-coding
731,C8A,protein-coding
4160,MC4R,protein-coding
733,C8G,protein-coding
51684,SUFU,protein-coding
100294362,RNF213-AS1,ncRNA
27241,BBS9,protein-coding
-1561,MIR-4632/5P,miRNA
115891964,MIR223HG,ncRNA
55212,BBS7,protein-coding
-568,MIR-6754/3P,miRNA
129880,BBS5,protein-coding
585,BBS4,protein-coding
22882,ZHX2,protein-coding
9468,PCYT1B,protein-coding
23051,ZHX3,protein-coding
5130,PCYT1A,protein-coding
-3104,MIR-4453/4453,miRNA
1467,CSRP2P1,pseudogene
106480317,MLECP1,pseudogene
100420832,CSRP2P2,pseudogene
27101,CACYBP,protein-coding
100874301,EIPR1-IT1,ncRNA
100147747,RNU7-4P,pseudogene
-106,MIR-9-3/5P,miRNA
-343,MIR-6837/3P,miRNA
-3164,MIR-4507/4507,miRNA
11244,ZHX1,protein-coding
-596,MIR-6742/5P,miRNA
9781,RNF144A,protein-coding
255488,RNF144B,protein-coding
4159,MC3R,protein-coding
100128782,ERCC6L2-AS1,ncRNA
8887,TAX1BP1,protein-coding
30851,TAX1BP3,protein-coding
647253,RNF13P1,pseudogene
100147755,RNU7-7P,pseudogene
-539,MIR-6766/3P,miRNA
100189294,TRK-TTT2-1,tRNA
100128218,PSMC6P3,pseudogene
729451,SAMD4A-AS1,ncRNA
-367,MIR-6825/5P,miRNA
-567,MIR-6754/5P,miRNA
9409,PEX16,protein-coding
5824,PEX19,protein-coding
4503,MT2P1,pseudogene
-3642,MIR-548AG-2/548AG,miRNA
100147749,RNU7-6P,pseudogene
5192,PEX10,protein-coding
5193,PEX12,protein-coding
5194,PEX13,protein-coding
160410,PSMC6P2,pseudogene
5195,PEX14,protein-coding
266723,PSMC6P1,pseudogene
-108,MIR-9-3/9*,miRNA
-3478,MIR-126/126*,miRNA
-3815,MIR-100-11/100,miRNA
4161,MC5R,protein-coding
101929162,PRDM4-AS1,ncRNA
123706549,TILRLS,ncRNA
105378910,PPM1J-DT,ncRNA
106481849,RN7SL559P,pseudogene
-753,MIR-629/629,miRNA
109617023,SNORA58B,snoRNA
3636,INPPL1,protein-coding
100271871,RBM22P2,pseudogene
-625,MIR-6729/3P,miRNA
400645,RBM22P1,pseudogene
3480,IGF1R,protein-coding
-1048,MIR-519A-1/519A*,miRNA
9677,PPIP5K1,protein-coding
23262,PPIP5K2,protein-coding
-798,MIR-590/590,miRNA
-1182,MIR-500B/5P,miRNA
100188993,TRV-TAC1-1,tRNA
5168,ENPP2,protein-coding
100189191,TRV-TAC1-2,tRNA
5167,ENPP1,protein-coding
22875,ENPP4,protein-coding
100271893,SAMM50P1,pseudogene
5169,ENPP3,protein-coding
133121,ENPP6,protein-coding
-1853,MIR-3681/5P,miRNA
59084,ENPP5,protein-coding
339221,ENPP7,protein-coding
677885,SNORA59A,snoRNA
677882,SNORA59B,snoRNA
106481074,RN7SL558P,pseudogene
100422285,CPSF1P2,pseudogene
100189513,NMTRV-TAC1-1,tRNA
129099,CPSF1P1,pseudogene
105374869,LIRIL2R,ncRNA
-140,MIR-875/5P,miRNA
-1508,MIR-4668/3P,miRNA
100874208,NDFIP2-AS1,ncRNA
79947,DHDDS,protein-coding
-2795,MIR-190A/3P,miRNA
106479854,RNU6-649P,pseudogene
-623,MIR-6730/3P,miRNA
-130,MIR-887/3P,miRNA
643427,RBMS2P1,pseudogene
106479425,RN7SL557P,pseudogene
105369547,CCDC15-DT,ncRNA
94031,HTRA3,protein-coding
203100,HTRA4,protein-coding
5654,HTRA1,protein-coding
27429,HTRA2,protein-coding
27071,DAPP1,protein-coding
-624,MIR-6729/5P,miRNA
100147746,RNU7-3P,pseudogene
-1854,MIR-3681/3P,miRNA
-3362,MIR-1304/1304,miRNA
101929120,BRINP3-DT,ncRNA
285303,FAM151AP1,pseudogene
106481073,RN7SL556P,pseudogene
728655,HULC,ncRNA
101669766,ZNF350-AS1,ncRNA
400916,CHCHD10,protein-coding
-597,MIR-6742/3P,miRNA
100147745,RNU7-2P,pseudogene
3482,IGF2R,protein-coding
54836,BSPRY,protein-coding
-141,MIR-875/3P,miRNA
644509,RBM22P6,pseudogene
100133206,RBM22P5,pseudogene
100271870,RBM22P4,pseudogene
100128867,RBM22P3,pseudogene
81352,OR7M1P,pseudogene
-1695,MIR-424/424*,miRNA
106478953,RBM22P7,pseudogene
-1507,MIR-4668/5P,miRNA
-3483,MIR-4803/4803,miRNA
-622,MIR-6730/5P,miRNA
106479424,RN7SL555P,pseudogene
10824,DIAPH2-AS1,ncRNA
-1161,MIR-506/506,miRNA
-2055,MIR-5700/5700,miRNA
759,CA1,protein-coding
101928504,GTF2A1-AS1,ncRNA
7546,ZIC2,protein-coding
761,CA3,protein-coding
7547,ZIC3,protein-coding
760,CA2,protein-coding
7545,ZIC1,protein-coding
762,CA4,protein-coding
-1484,MIR-4693/5P,miRNA
766,CA7,protein-coding
765,CA6,protein-coding
106481386,RNU6-646P,pseudogene
768,CA9,protein-coding
767,CA8,protein-coding
256979,SUN3,protein-coding
25777,SUN2,protein-coding
23353,SUN1,protein-coding
537,ATP6AP1,protein-coding
10159,ATP6AP2,protein-coding
790,CAD,protein-coding
-3632,MIR-106A/3P,miRNA
30811,HUNK,protein-coding
100129631,IGHV2OR16-5,other
140732,SUN5,protein-coding
132817,RBM48P1,pseudogene
847,CAT,protein-coding
106479423,RN7SL554P,pseudogene
106479852,RNU6-645P,pseudogene
644093,MSH2-OT1,ncRNA
85358,SHANK3,protein-coding
22941,SHANK2,protein-coding
50944,SHANK1,protein-coding
8591,OR5G1P,pseudogene
-1193,MIR-5007/3P,miRNA
-1524,MIR-7704/7704,miRNA
92196,DAPL1,protein-coding
104797537,GACAT3,ncRNA
867,CBL,protein-coding
100287082,GACAT2,ncRNA
-3475,MIR-1260/1260,miRNA
104326057,GACAT1,ncRNA
22987,SV2C,protein-coding
106479853,RNU6-648P,pseudogene
9899,SV2B,protein-coding
50945,TBX22,protein-coding
9900,SV2A,protein-coding
875,CBS,protein-coding
30009,TBX21,protein-coding
57057,TBX20,protein-coding
134829,CLVS2,protein-coding
106480518,RN7SL553P,pseudogene
-1183,MIR-500B/3P,miRNA
-1485,MIR-4693/3P,miRNA
100131616,CASP3P1,pseudogene
-3992,PTPN11_PY542,phosphoprotein
157807,CLVS1,protein-coding
-2790,MIR-190A/5P,miRNA
692236,SNORD116@,other
84107,ZIC4,protein-coding
885,CCK,protein-coding
85416,ZIC5,protein-coding
6821,SUOX,protein-coding
9095,TBX19,protein-coding
9096,TBX18,protein-coding
914,CD2,protein-coding
6913,TBX15,protein-coding
9973,CCS,protein-coding
920,CD4,protein-coding
121053,NOPCHAP1,protein-coding
729903,RPS16P10,pseudogene
923,CD6,protein-coding
106480598,RNU6-647P,pseudogene
921,CD5,protein-coding
347853,TBX10,protein-coding
924,CD7,protein-coding
928,CD9,protein-coding
106481072,RN7SL552P,pseudogene
-1192,MIR-5007/5P,miRNA
645249,MNX1-AS1,ncRNA
-1622,MIR-6717/5P,miRNA
105375606,MNX1-AS2,ncRNA
100271323,RPL36AP13,pseudogene
100271324,RPL36AP14,pseudogene
978,CDA,protein-coding
100129180,RPL36AP11,pseudogene
100130034,RPL36AP12,pseudogene
100271326,RPL36AP17,pseudogene
100271328,RPL36AP18,pseudogene
100271325,RPL36AP15,pseudogene
10462,CLEC10A,protein-coding
100271327,RPL36AP16,pseudogene
100271330,RPL36AP19,pseudogene
105378720,EPS15-AS1,ncRNA
109286551,BPTFP1,pseudogene
11280,SCN11A,protein-coding
106480600,RNU6-666P,pseudogene
106479432,RN7SL575P,pseudogene
100271329,RPL36AP20,pseudogene
-836,MIR-5585/3P,miRNA
106481304,RNU6-400P,pseudogene
100271332,RPL36AP21,pseudogene
100271508,RPL36AP24,pseudogene
100271331,RPL36AP25,pseudogene
-2648,MIR-19B-1/5P,miRNA
729075,RPL36AP23,pseudogene
146336,SSTR5-AS1,ncRNA
100271509,RPL36AP28,pseudogene
100271510,RPL36AP29,pseudogene
729909,RPL36AP26,pseudogene
100128072,RPL36AP27,pseudogene
6320,CLEC11A,protein-coding
3364,HUS1,protein-coding
1056,CEL,protein-coding
9688,NUP93,protein-coding
63827,BCAN,protein-coding
-1688,MIR-431/431,miRNA
6336,SCN10A,protein-coding
4059,BCAM,protein-coding
57520,HECW2,protein-coding
23072,HECW1,protein-coding
106481392,RNU6-665P,pseudogene
106481079,RN7SL574P,pseudogene
153443,SRFBP1,protein-coding
677830,SNORA50A,snoRNA
4928,NUP98,protein-coding
109616998,SNORA50B,snoRNA
642320,RPL36AP31,pseudogene
100271512,RPL36AP32,pseudogene
677842,SNORA50C,snoRNA
109616958,SNORA50D,snoRNA
629,CFB,protein-coding
100271511,RPL36AP30,pseudogene
100189094,TRX-CAT1-3,tRNA
1675,CFD,protein-coding
100189040,TRX-CAT1-4,tRNA
100189345,TRX-CAT1-5,tRNA
100189297,TRX-CAT1-6,tRNA
3075,CFH,protein-coding
100189015,TRX-CAT1-1,tRNA
7210,TRX-CAT1-2,tRNA
3426,CFI,protein-coding
100189315,TRX-CAT1-7,tRNA
5199,CFP,protein-coding
100189255,TRX-CAT1-8,tRNA
27341,RRP7A,protein-coding
-835,MIR-5585/5P,miRNA
79902,NUP85,protein-coding
-101,MIR-92-13/92A,miRNA
106481393,RNU6-668P,pseudogene
4927,NUP88,protein-coding
106481305,RNU6-402P,pseudogene
106481078,RN7SL573P,pseudogene
1081,CGA,protein-coding
-2650,MIR-19B-1/3P,miRNA
100874033,SPIN4-AS1,ncRNA
4162,MCAM,protein-coding
-2957,MIR-3977/3977,miRNA
57530,CGN,protein-coding
27349,MCAT,protein-coding
100529215,ZNF559-ZNF177,other
402246,OR10AH1P,pseudogene
106479743,RNU6-401P,pseudogene
106479862,RNU6-667P,pseudogene
100289187,TMEM225B,protein-coding
100271140,RPL36AP10,pseudogene
-2651,MIR-19B-1/1*,miRNA
4338,MOCS2,protein-coding
27304,MOCS3,protein-coding
11037,STON1,protein-coding
1121,CHM,protein-coding
85439,STON2,protein-coding
105373617,POTEF-AS1,ncRNA
100505641,FGD5-AS1,ncRNA
84693,MCEE,protein-coding
100189342,TRV-TAC3-1,tRNA
23223,RRP12,protein-coding
106479860,RNU6-662P,pseudogene
23152,CIC,protein-coding
106479431,RN7SL571P,pseudogene
51018,RRP15,protein-coding
284307,ZIK1,protein-coding
102723631,CT45A10,protein-coding
128178,EDARADD,protein-coding
84417,ECRG4,protein-coding
11113,CIT,protein-coding
100421008,SLC9B1P3,pseudogene
389000,SLC9B1P2,pseudogene
100533705,SLC9B1P5,pseudogene
644768,SLC9B1P4,pseudogene
-1179,MIR-501/5P,miRNA
542767,PCOTH,ncRNA
729359,PLIN4,protein-coding
10226,PLIN3,protein-coding
123,PLIN2,protein-coding
5346,PLIN1,protein-coding
-1585,MIR-4524/3P,miRNA
91433,RCCD1,protein-coding
106479859,RNU6-661P,pseudogene
4337,MOCS1,protein-coding
106479430,RN7SL570P,pseudogene
440503,PLIN5,protein-coding
28579,TRBV12-1,pseudogene
340578,DCAF12L2,protein-coding
139170,DCAF12L1,protein-coding
442113,PTPN11P5,pseudogene
391771,PTPN11P4,pseudogene
442263,PTPN11P3,pseudogene
100421822,PTPN11P2,pseudogene
344593,PTPN11P1,pseudogene
28578,TRBV12-2,pseudogene
28577,TRBV12-3,other
100128190,SLC9B1P1,pseudogene
28576,TRBV12-4,other
28575,TRBV12-5,other
101927081,MIR4307HG,ncRNA
644943,RASSF10,protein-coding
88745,RRP36,protein-coding
1152,CKB,protein-coding
51247,PAIP2,protein-coding
-3114,MIR-4463/4463,miRNA
106479861,RNU6-664P,pseudogene
23619,ZIM2,protein-coding
-2300,MIR-30B/30B,miRNA
114026,ZIM3,protein-coding
10605,PAIP1,protein-coding
147746,HIPK4,protein-coding
590,BCHE,protein-coding
1158,CKM,protein-coding
100874355,ARHGEF9-IT1,ncRNA
4168,MCF2,protein-coding
55034,MOCOS,protein-coding
50486,G0S2,protein-coding
23076,RRP1B,protein-coding
204851,HIPK1,protein-coding
10114,HIPK3,protein-coding
28996,HIPK2,protein-coding
-1181,MIR-501/3P,miRNA
390561,HERC2P10,pseudogene
100996738,HERC2P11,pseudogene
-3209,MIR-148B/3P,miRNA
2354,FOSB,protein-coding
1178,CLC,protein-coding
730130,TMEM229A,protein-coding
386608,RNASEH2CP1,pseudogene
55545,MSX2P1,pseudogene
5938,RBMS1P1,pseudogene
106481391,RNU6-663P,pseudogene
161145,TMEM229B,protein-coding
100628315,DNM3OS,ncRNA
1191,CLU,protein-coding
326343,MT1DP,pseudogene
-3009,MIR-4286/4286,miRNA
11339,OIP5,protein-coding
105376072,TMEM252-DT,ncRNA
-2474,MIR-221/221*,miRNA
200772,UICLM,ncRNA
3461,IFNA11P,pseudogene
1733,DIO1,protein-coding
1734,DIO2,protein-coding
1735,DIO3,protein-coding
157769,FAM91A1,protein-coding
4543,MTNR1A,protein-coding
441771,MT1CP,pseudogene
494540,TBCAP1,pseudogene
4544,MTNR1B,protein-coding
494541,TBCAP2,pseudogene
101290501,TBCAP3,pseudogene
-1573,MIR-4536/5P,miRNA
-3205,MIR-148B/5P,miRNA
158011,IFNA12P,pseudogene
646065,PMM2P2,pseudogene
106480599,RNU6-660P,pseudogene
26479,OR7E62P,pseudogene
1267,CNP,protein-coding
414212,GLUD1P2,pseudogene
390831,PMM2P1,pseudogene
337874,H2BC19P,pseudogene
101927983,EDRF1-AS1,ncRNA
-3706,MIR-554/554,miRNA
-3342,MIR-132/132,miRNA
105372669,TSHZ2-AS1,ncRNA
123706507,ECI1-AS1,ncRNA
124599,CD300LB,protein-coding
100131439,CD300LD,protein-coding
146722,CD300LF,protein-coding
146894,CD300LG,protein-coding
4170,MCL1,protein-coding
100113374,TRNT1P1,pseudogene
100113375,TRNT1P2,pseudogene
100130799,SRSF10P1,pseudogene
171472,SRSF10P2,pseudogene
170082,TCEANC,protein-coding
-1574,MIR-4536/3P,miRNA
607,BCL9,protein-coding
22888,UBOX5,protein-coding
403281,OR6C64P,pseudogene
100420893,VPS26CP1,pseudogene
604,BCL6,protein-coding
-736,MIR-644A/644,miRNA
1362,CPD,protein-coding
602,BCL3,protein-coding
2749,GLUD1P3,pseudogene
596,BCL2,protein-coding
2750,GLUD1P4,pseudogene
1363,CPE,protein-coding
-1584,MIR-4524/5P,miRNA
2751,GLUD1P5,pseudogene
414213,GLUD1P6,pseudogene
401664,OR51H2P,pseudogene
100131281,GLUD1P9,pseudogene
-3094,MIR-153-1/153,miRNA
127700,OSCP1,protein-coding
1368,CPM,protein-coding
100420206,RPL36AP55,pseudogene
340451,CPP,pseudogene
130749,CPO,protein-coding
4176,MCM7,protein-coding
128266842,SMAD3-AS1,ncRNA
84515,MCM8,protein-coding
10404,CPQ,protein-coding
7373,COL14A1,protein-coding
254394,MCM9,protein-coding
-2496,MIR-219/219,miRNA
-905,MIR-548H-5/548H,miRNA
8532,CPZ,protein-coding
390594,KBTBD13,protein-coding
166348,KBTBD12,protein-coding
6644,SRIP1,pseudogene
100499485,SRIP2,pseudogene
10340,H2BC16P,pseudogene
100861435,SRIP3,pseudogene
283638,CEP170B,protein-coding
100506944,LOC100506944,protein-coding
170392,OIT3,protein-coding
-222,MIR-7-1/7,miRNA
400002,CLEC12A-AS1,ncRNA
503646,DPRXP5,pseudogene
503645,DPRXP4,pseudogene
503644,DPRXP3,pseudogene
1380,CR2,protein-coding
503643,DPRXP2,pseudogene
1378,CR1,protein-coding
503641,DPRXP1,pseudogene
9453,GGPS1,protein-coding
84251,SGIP1,protein-coding
22894,DIS3,protein-coding
100874466,HMGN2P19,pseudogene
-2142,MIR-3150A/5P,miRNA
648822,HMGN2P18,pseudogene
503648,DPRXP7,pseudogene
100113373,HMGN2P17,pseudogene
503647,DPRXP6,pseudogene
728234,HMGN2P16,pseudogene
100288165,HMGN2P15,pseudogene
403283,OR6C66P,pseudogene
100874458,HMGN2P14,pseudogene
